Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
31981,28,4,0,0,0
31661,6,0,0,0,0
31761,18,11,0,0,0
31641,14,2,0,0,0
31621,15,23,0,0,0
31961,24,3,0,5,0
31541,18,11,0,0,0
31561,12,4,0,0,0
31581,6,0,0,0,0
31501,15,23,0,0,0
31601,6,0,0,0,0
31941,23,4,0,5,0
31481,23,6,0,0,0
31461,5,1,0,0,0
31401,6,0,0,0,0
31421,12,4,0,0,0
31381,10,28,0,0,0
31301,25,4,0,0,0
31261,11,27,0,0,0
31321,10,6,0,0,0
31341,6,0,0,0,0
31921,25,2,0,5,0
31361,5,1,0,0,0
31901,24,3,0,5,0
31201,10,6,0,0,0
31181,23,6,0,0,0
31141,12,26,0,0,0
31221,5,1,0,0,0
31241,6,0,0,0,0
31101,6,0,0,0,0
31021,14,24,0,0,0
31121,5,1,0,0,0
31081,9,7,0,0,0
31061,26,3,0,0,0
31041,23,4,0,0,0
30901,14,24,0,0,0
31001,4,2,0,0,0
30981,3,3,0,0,0
30961,10,6,0,0,0
30941,28,1,0,0,0
30921,23,4,0,0,0
30801,23,4,0,0,0
30881,6,0,0,0,0
30861,4,2,0,0,0
30841,11,5,0,0,0
30821,27,2,0,0,0
30781,23,15,0,0,0
30701,28,1,0,0,0
30741,6,0,0,0,0
30761,4,2,0,0,0
30721,12,4,0,0,0
30681,25,2,0,0,0
30661,22,16,0,0,0
30621,2,4,0,0,0
30561,23,3,0,1,0
30541,15,23,0,0,0
30601,9,7,0,0,0
30641,6,0,0,0,0
30581,25,4,0,0,0
30461,12,4,0,0,0
30501,6,0,0,0,0
30521,28,1,0,0,0
30421,22,16,0,0,0
30441,24,2,0,1,0
30481,5,1,0,0,0
30301,21,17,0,0,0
30341,12,4,0,0,0
30381,26,3,0,0,0
30361,6,0,0,0,0
30321,24,2,0,1,0
30401,6,0,0,0,0
30201,24,2,0,1,0
30261,6,0,0,0,0
30221,12,4,0,0,0
30241,6,0,0,0,0
30181,21,17,0,0,0
30281,28,1,0,0,0
30161,6,0,0,0,0
30121,5,1,0,0,0
30061,20,18,0,0,0
30101,25,4,0,0,0
30081,23,3,0,0,0
30141,7,9,0,0,0
30001,12,4,0,0,0
29961,25,1,0,0,0
29941,28,10,0,0,0
29981,5,1,0,0,0
30041,28,1,0,0,0
30021,6,0,0,0,0
29821,25,1,0,0,0
29861,27,2,0,0,0
29881,6,0,0,0,0
29901,12,4,0,0,0
29921,5,1,0,0,0
29841,25,13,0,0,0
29781,12,4,0,0,0
29701,27,11,0,0,0
29721,20,0,0,7,0
29741,27,2,0,0,0
29801,6,0,0,0,0
29681,6,0,0,0,0
29601,12,0,0,0,0
29621,13,3,0,0,0
29561,27,2,0,0,0
29541,20,0,0,7,0
29521,30,8,0,0,0
29421,20,0,0,7,0
29661,6,0,0,0,0
29501,12,4,0,0,0
29481,6,0,0,0,0
29441,25,4,0,0,0
29401,26,12,0,0,0
28961,20,0,0,7,0
29641,6,0,0,0,0
28981,6,0,0,0,0
28781,26,12,0,0,0
28861,25,4,0,0,0
29081,12,4,0,0,0
28321,29,0,0,0,0
28281,6,0,0,0,0
28381,13,3,0,0,0
28361,22,16,0,0,0
28341,20,0,0,0,0
28301,6,0,0,0,0
28261,19,1,0,0,0
28161,31,7,0,0,0
28201,6,0,0,0,0
28181,29,0,0,0,0
28221,6,0,0,0,0
28241,12,4,0,0,0
28061,2,0,0,4,0
28121,29,9,0,0,0
28041,6,0,0,0,0
28081,26,3,0,0,0
28101,19,1,0,0,0
28141,11,5,0,0,0
27981,6,0,0,0,0
27961,2,0,0,4,0
28021,19,1,0,0,0
28001,12,4,0,0,0
27941,27,2,0,0,0
27921,30,8,0,0,0
27821,6,0,0,0,0
27801,29,9,0,0,0
27901,28,1,0,0,0
27861,14,2,0,0,0
27841,19,1,0,0,0
27881,2,0,0,4,0
27681,2,0,0,4,0
27781,13,3,0,0,0
27701,18,2,0,0,0
27741,28,10,0,0,0
27761,28,1,0,0,0
27721,6,0,0,0,0
27661,2,0,0,4,0
27641,29,9,0,0,0
27621,13,3,0,0,0
27601,20,0,0,0,0
27581,6,0,0,0,0
27561,27,2,0,0,0
27481,13,3,0,0,0
27461,6,0,0,0,0
27441,19,1,0,0,0
27541,5,1,0,0,0
27521,30,8,0,0,0
27501,28,1,0,0,0
27381,6,0,0,0,0
27341,12,4,0,0,0
27321,30,8,0,0,0
27421,19,1,0,0,0
27401,25,4,0,0,0
27361,6,0,0,0,0
27241,19,1,0,0,0
27201,26,12,0,0,0
27281,6,0,0,0,0
27301,6,0,0,0,0
27261,12,4,0,0,0
27221,28,1,0,0,0
27141,26,3,0,0,0
27081,19,1,0,0,0
27181,12,4,0,0,0
27101,6,0,0,0,0
27161,22,16,0,0,0
27121,6,0,0,0,0
27061,12,4,0,0,0
27001,6,0,0,0,0
26961,26,3,0,0,0
26981,6,0,0,0,0
27021,19,1,0,0,0
27041,20,18,0,0,0
26861,6,0,0,0,0
26841,18,2,0,0,0
26881,24,5,0,0,0
26901,6,0,0,0,0
26921,12,4,0,0,0
26941,15,23,0,0,0
26761,6,0,0,0,0
26821,26,3,0,0,0
26801,51,16,0,0,0
26781,19,1,0,0,0
26741,11,5,0,0,0
26721,6,0,0,0,0
26681,23,6,0,0,0
26701,5,1,0,0,0
26661,6,0,0,0,0
26601,20,0,0,0,0
26621,27,11,0,0,0
26641,12,4,0,0,0
26481,12,4,0,0,0
26581,6,0,0,0,0
26561,23,6,0,0,0
26541,20,0,0,0,0
26521,26,12,0,0,0
26501,4,2,0,0,0
26361,31,7,0,0,0
26441,6,0,0,0,0
26461,26,3,0,0,0
26421,11,5,0,0,0
26401,6,0,0,0,0
26381,20,0,0,0,0
26261,24,14,0,0,0
26341,6,0,0,0,0
26321,6,0,0,0,0
26241,23,6,0,0,0
26301,11,5,0,0,0
26281,20,0,0,0,0
26221,6,0,0,0,0
26161,31,7,0,0,0
26141,20,0,0,0,0
26121,11,5,0,0,0
26201,5,1,0,0,0
26181,24,5,0,0,0
26101,11,5,0,0,0
26081,6,0,0,0,0
26061,4,2,0,0,0
26041,19,1,0,0,0
26021,27,2,0,0,0
26001,31,7,0,0,0
25941,19,1,0,0,0
25921,26,3,0,0,0
25901,21,17,0,0,0
25881,5,1,0,0,0
25981,6,0,0,0,0
25961,13,3,0,0,0
25821,19,1,0,0,0
25781,24,5,0,0,0
25761,13,3,0,0,0
25841,6,0,0,0,0
25861,5,1,0,0,0
25801,22,16,0,0,0
25701,14,2,0,0,0
25641,21,17,0,0,0
25661,6,0,0,0,0
25741,5,1,0,0,0
25721,19,1,0,0,0
25681,24,5,0,0,0
25561,6,0,0,0,0
25521,25,4,0,0,0
25621,19,19,0,0,0
25601,19,1,0,0,0
